qid,query
1,hiking in Michigan
2,play golf in California
3,best place to take a selfie in summer
4,educational place for children and kids
5,summer vacation destination
6,birthday party place in California
7,peaceful and relaxing forest
8,hotel with swimming pool and beautiful scenery in Florida
9,must-see attraction in New York
10,weekend camping destination and not crowded
11,national park with convenient public transport
12,where to date with my girlfriend
13,graduation trip destination with classmates
14,sites of Civil War
15,nice fishing place in Michigan
16,fisherman wharf with delicious restaurants
17,landmark in San Francisco
18,cheap holiday tour with friends
19,national park with nice tour guide for driving
20,beautiful valley and waterfall 
21,best place for camping
22,the most romantic place
23,a place most suitable for barbecue
24,highly rated parks for picnics 
25,mountain climbing destinations
26,the best resort in Alabama
27,the best city museum to visit 
28,popular ski destination in winter
29,a place best to watch sunset and not crowded
30,seaside place with most delicious fish to eat
31,good family tour destinatioon with high rating
32,recommended barbecue place
33,most beatuiful beaches to swim
34,historical significant attraction
35,biggest art museum 
36,national park with highest rating
37,popular sites to watch maple leaves
38,attraction with hot springs 
39,popular snow watching sites
40,best amusement park with many comments
